Codigo,Codigo_caracteristica,Descripcion_caracteristica,Valor,Linea,Toma,Observacion,Descripcion,Activo
38016,TASU,Toma de Anclaje Superior,0.0,,,,,
38016,DIMC,Dimensional Cerrado,228.0,,,,,
38016,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38016,DIMR,Dimensional Carrera,129.0,,,,,
38016,DIMA,Dimensional Abierto,357.0,,,,,
38019,TASU,Toma de Anclaje Superior,0.0,,,,,
38019,DIMC,Dimensional Cerrado,240.0,,,,,
38019,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38019,DIMR,Dimensional Carrera,136.0,,,,,
38019,DIMA,Dimensional Abierto,376.0,,,,,
38020,TASU,Toma de Anclaje Superior,0.0,,,,,
38020,DIMC,Dimensional Cerrado,351.0,,,,,
38020,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38020,DIMR,Dimensional Carrera,244.0,,,,,
38020,DIMA,Dimensional Abierto,595.0,,,,,
38021,TASU,Toma de Anclaje Superior,0.0,,,,,
38021,DIMC,Dimensional Cerrado,458.0,,,,,
38021,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38021,DIMR,Dimensional Carrera,212.0,,,,,
38021,DIMA,Dimensional Abierto,670.0,,,,,
38021,27,Incluye Tope y Fuelle,,,,,,
38022,TASU,Toma de Anclaje Superior,0.0,,,,,
38022,DIMC,Dimensional Cerrado,240.0,,,,,
38022,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38022,DIMR,Dimensional Carrera,148.0,,,,,
38022,DIMA,Dimensional Abierto,388.0,,,,,
38023,TASU,Toma de Anclaje Superior,0.0,,,,,
38023,DIMC,Dimensional Cerrado,284.0,,,,,
38023,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38023,DIMR,Dimensional Carrera,185.0,,,,,
38023,DIMA,Dimensional Abierto,469.0,,,,,
38024,TASU,Toma de Anclaje Superior,0.0,,,,,
38024,DIMC,Dimensional Cerrado,396.0,,,,,
38024,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38024,DIMR,Dimensional Carrera,136.0,,,,,
38024,DIMA,Dimensional Abierto,531.0,,,,,
38025,TASU,Toma de Anclaje Superior,0.0,,,,,
38025,DIMC,Dimensional Cerrado,273.0,,,,,
38025,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38025,DIMR,Dimensional Carrera,99.0,,,,,
38025,DIMA,Dimensional Abierto,372.0,,,,,
38029,TASU,Toma de Anclaje Superior,0.0,,,,,
38029,DIMC,Dimensional Cerrado,245.0,,,,,
38029,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38029,DIMR,Dimensional Carrera,81.0,,,,,
38029,DIMA,Dimensional Abierto,326.0,,,,,
38031,TASU,Toma de Anclaje Superior,0.0,,,,,
38031,DIMC,Dimensional Cerrado,344.0,,,,,
38031,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38031,DIMR,Dimensional Carrera,243.0,,,,,
38031,DIMA,Dimensional Abierto,587.0,,,,,
38032,TASU,Toma de Anclaje Superior,0.0,,,,,
38032,DIMC,Dimensional Cerrado,212.0,,,,,
38032,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38032,DIMR,Dimensional Carrera,111.0,,,,,
38032,DIMA,Dimensional Abierto,323.0,,,,,
38033,TASU,Toma de Anclaje Superior,0.0,,,,,
38033,DIMC,Dimensional Cerrado,355.0,,,,,
38033,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38033,DIMR,Dimensional Carrera,240.0,,,,,
38033,DIMA,Dimensional Abierto,595.0,,,,,
38036,TASU,Toma de Anclaje Superior,0.0,,,,,
38036,DIMC,Dimensional Cerrado,331.0,,,,,
38036,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38036,DIMR,Dimensional Carrera,231.0,,,,,
38036,DIMA,Dimensional Abierto,562.0,,,,,
38037,TASU,Toma de Anclaje Superior,0.0,,,,,
38037,DIMC,Dimensional Cerrado,326.0,,,,,
38037,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38037,DIMR,Dimensional Carrera,60.0,,,,,
38037,DIMA,Dimensional Abierto,386.0,,,,,
38038,TASU,Toma de Anclaje Superior,0.0,,,,,
38038,DIMC,Dimensional Cerrado,243.0,,,,,
38038,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38038,DIMR,Dimensional Carrera,157.0,,,,,
38038,DIMA,Dimensional Abierto,400.0,,,,,
38039,TASU,Toma de Anclaje Superior,0.0,,,,,
38039,DIMC,Dimensional Cerrado,311.0,,,,,
38039,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38039,DIMR,Dimensional Carrera,74.0,,,,,
38039,DIMA,Dimensional Abierto,385.0,,,,,
38040,TASU,Toma de Anclaje Superior,0.0,,,,,
38040,DIMC,Dimensional Cerrado,325.0,,,,,
38040,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38040,DIMR,Dimensional Carrera,115.0,,,,,
38040,DIMA,Dimensional Abierto,440.0,,,,,
38041,TASU,Toma de Anclaje Superior,0.0,,,,,
38041,DIMC,Dimensional Cerrado,245.0,,,,,
38041,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38041,DIMR,Dimensional Carrera,81.0,,,,,
38041,DIMA,Dimensional Abierto,326.0,,,,,
38222,DIMA,Dimensional Abierto,497.0,,,,,
38222,DIMC,Dimensional Cerrado,335.0,,,,,
38222,DIMR,Dimensional Carrera,162.0,,,,,
38222,TAIN,Toma de Anclaje Inferior,,,,,,
38222,TASU,Toma de Anclaje Superior,,,,,,
38043,TASU,Toma de Anclaje Superior,0.0,,,,,
38043,DIMC,Dimensional Cerrado,335.0,,,,,
38043,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38043,DIMR,Dimensional Carrera,222.0,,,,,
38043,DIMA,Dimensional Abierto,557.0,,,,,
38044,TASU,Toma de Anclaje Superior,0.0,,,,,
38044,DIMC,Dimensional Cerrado,325.0,,,,,
38044,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38044,DIMR,Dimensional Carrera,215.0,,,,,
38044,DIMA,Dimensional Abierto,540.0,,,,,
38045,TASU,Toma de Anclaje Superior,0.0,,,,,
38045,DIMC,Dimensional Cerrado,215.0,,,,,
38045,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38045,DIMR,Dimensional Carrera,81.0,,,,,
38045,DIMA,Dimensional Abierto,296.0,,,,,
94176,DIMA,Dimensional Abierto,545.0,,,,,
94176,DIMC,Dimensional Cerrado,369.0,,,,,
94176,DIMR,Dimensional Carrera,176.0,,,,,
94176,TASU,Toma de Anclaje Superior,,,,,,
94207,DIMA,Dimensional Abierto,520.0,,,,,
94207,DIMC,Dimensional Cerrado,332.0,,,,,
94207,DIMR,Dimensional Carrera,188.0,,,,,
94207,TASU,Toma de Anclaje Superior,,,,,,
94181,DIMA,Dimensional Abierto,573.0,,,,,
94181,DIMC,Dimensional Cerrado,411.0,,,,,
94181,DIMR,Dimensional Carrera,162.0,,,,,
94181,TASU,Toma de Anclaje Superior,,,,,,
94170 D,DIMA,Dimensional Abierto,486.0,,,,,
94170 D,DIMC,Dimensional Cerrado,298.0,,,,,
94170 D,DIMR,Dimensional Carrera,188.0,,,,,
94170 D,TASU,Toma de Anclaje Superior,,,,,,
38101,DIMC,Dimensional Cerrado,394.0,,,,,
38101,TASU,Toma de Anclaje Superior,0.0,,,,,
38101,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38101,DIMR,Dimensional Carrera,252.0,,,,,
38101,DIMA,Dimensional Abierto,646.0,,,,,
38103,DIMC,Dimensional Cerrado,380.0,,,,,
38103,TASU,Toma de Anclaje Superior,0.0,,,,,
38103,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38103,DIMR,Dimensional Carrera,165.0,,,,,
38103,DIMA,Dimensional Abierto,545.0,,,,,
38105,DIMC,Dimensional Cerrado,268.0,,,,,
38105,TASU,Toma de Anclaje Superior,0.0,,,,,
38105,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38105,DIMR,Dimensional Carrera,126.0,,,,,
38105,DIMA,Dimensional Abierto,394.0,,,,,
38113,DIMC,Dimensional Cerrado,292.0,,,,,
38113,TASU,Toma de Anclaje Superior,0.0,,,,,
38113,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38113,DIMR,Dimensional Carrera,83.0,,,,,
38113,DIMA,Dimensional Abierto,375.0,,,,,
38114,DIMC,Dimensional Cerrado,273.0,,,,,
38114,TASU,Toma de Anclaje Superior,0.0,,,,,
38114,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38114,DIMR,Dimensional Carrera,114.0,,,,,
38114,DIMA,Dimensional Abierto,387.0,,,,,
38119,DIMC,Dimensional Cerrado,218.0,,,,,
38119,TASU,Toma de Anclaje Superior,0.0,,,,,
38119,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38119,DIMR,Dimensional Carrera,97.0,,,,,
38119,DIMA,Dimensional Abierto,315.0,,,,,
38120,DIMC,Dimensional Cerrado,310.0,,,,,
38120,TASU,Toma de Anclaje Superior,0.0,,,,,
38120,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38120,DIMR,Dimensional Carrera,179.0,,,,,
38120,DIMA,Dimensional Abierto,489.0,,,,,
38201,DIMC,Dimensional Cerrado,454.0,,,,,
38201,TASU,Toma de Anclaje Superior,0.0,,,,,
38201,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38201,DIMR,Dimensional Carrera,213.0,,,,,
38201,DIMA,Dimensional Abierto,667.0,,,,,
38201,27,Incluye Tope y Fuelle,,,,,,
38203,DIMC,Dimensional Cerrado,429.0,,,,,
38203,TASU,Toma de Anclaje Superior,0.0,,,,,
38203,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38203,DIMR,Dimensional Carrera,252.0,,,,,
38203,DIMA,Dimensional Abierto,681.0,,,,,
38204,DIMC,Dimensional Cerrado,457.0,,,,,
38204,TASU,Toma de Anclaje Superior,0.0,,,,,
38204,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38204,DIMR,Dimensional Carrera,228.0,,,,,
38204,DIMA,Dimensional Abierto,685.0,,,,,
38204,27,Incluye Tope y Fuelle,,,,,,
38205,DIMC,Dimensional Cerrado,465.0,,,,,
38205,TASU,Toma de Anclaje Superior,0.0,,,,,
38205,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38205,DIMR,Dimensional Carrera,200.0,,,,,
38205,DIMA,Dimensional Abierto,665.0,,,,,
38205,27,Incluye Tope y Fuelle,,,,,,
38209,DIMC,Dimensional Cerrado,511.0,,,,,
38209,TASU,Toma de Anclaje Superior,0.0,,,,,
38209,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38209,DIMR,Dimensional Carrera,209.0,,,,,
38209,DIMA,Dimensional Abierto,720.0,,,,,
38209,27,Incluye Tope y Fuelle,,,,,,
38817,DIMC,Dimensional Cerrado,440.0,,,,,
38817,TASU,Toma de Anclaje Superior,0.0,,,,,
38817,TAIN,Toma de Anclaje Inferior,,,,,,
38817,DIMR,Dimensional Carrera,210.0,,,,,
38817,DIMA,Dimensional Abierto,650.0,,,,,
38817,27,Incluye Tope y Fuelle,,,,,,
38834,DIMC,Dimensional Cerrado,421.0,,,,,
38834,TASU,Toma de Anclaje Superior,0.0,,,,,
38834,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38834,DIMR,Dimensional Carrera,170.0,,,,,
38834,DIMA,Dimensional Abierto,591.0,,,,,
38834,REM,Reemplazado por,,,,,,
94206,DIMA,Dimensional Abierto,494.0,,,,,
94206,DIMC,Dimensional Cerrado,346.0,,,,,
94206,DIMR,Dimensional Carrera,148.0,,,,,
94206,TASU,Toma de Anclaje Superior,,,,,,
38846,DIMC,Dimensional Cerrado,251.0,,,,,
38846,TASU,Toma de Anclaje Superior,0.0,,,,,
38846,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38846,DIMR,Dimensional Carrera,138.0,,,,,
38846,DIMA,Dimensional Abierto,389.0,,,,,
38847,DIMC,Dimensional Cerrado,302.0,,,,,
38847,TASU,Toma de Anclaje Superior,0.0,,,,,
38847,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38847,DIMR,Dimensional Carrera,189.0,,,,,
38847,DIMA,Dimensional Abierto,491.0,,,,,
38848,DIMC,Dimensional Cerrado,333.0,,,,,
38848,TASU,Toma de Anclaje Superior,0.0,,,,,
38848,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38848,DIMR,Dimensional Carrera,225.0,,,,,
38848,DIMA,Dimensional Abierto,558.0,,,,,
38856,DIMC,Dimensional Cerrado,305.0,,,,,
38856,TASU,Toma de Anclaje Superior,0.0,,,,,
38856,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38856,DIMR,Dimensional Carrera,180.0,,,,,
38856,DIMA,Dimensional Abierto,485.0,,,,,
38857,DIMC,Dimensional Cerrado,231.0,,,,,
38857,TASU,Toma de Anclaje Superior,0.0,,,,,
38857,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38857,DIMR,Dimensional Carrera,115.0,,,,,
38857,DIMA,Dimensional Abierto,346.0,,,,,
38880,DIMC,Dimensional Cerrado,286.0,,,,,
38880,TASU,Toma de Anclaje Superior,0.0,,,,,
38880,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38880,DIMR,Dimensional Carrera,128.0,,,,,
38880,DIMA,Dimensional Abierto,414.0,,,,,
38884,DIMC,Dimensional Cerrado,335.0,,,,,
38884,TASU,Toma de Anclaje Superior,0.0,,,,,
38884,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38884,DIMR,Dimensional Carrera,162.0,,,,,
38884,DIMA,Dimensional Abierto,497.0,,,,,
38903,DIMC,Dimensional Cerrado,215.0,,,,,
38903,TASU,Toma de Anclaje Superior,0.0,,,,,
38903,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38903,DIMR,Dimensional Carrera,129.0,,,,,
38903,DIMA,Dimensional Abierto,344.0,,,,,
38939,DIMC,Dimensional Cerrado,265.0,,,,,
38939,TASU,Toma de Anclaje Superior,0.0,,,,,
38939,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38939,DIMR,Dimensional Carrera,150.0,,,,,
38939,DIMA,Dimensional Abierto,415.0,,,,,
38951,DIMC,Dimensional Cerrado,314.0,,,,,
38951,TASU,Toma de Anclaje Superior,0.0,,,,,
38951,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38951,DIMR,Dimensional Carrera,180.0,,,,,
38951,DIMA,Dimensional Abierto,494.0,,,,,
38993,DIMC,Dimensional Cerrado,251.0,,,,,
38993,TASU,Toma de Anclaje Superior,0.0,,,,,
38993,TAIN,Toma de Anclaje Inferior,0.0,,,,,
38993,DIMR,Dimensional Carrera,138.0,,,,,
38993,DIMA,Dimensional Abierto,389.0,,,,,
40001,DIMC,Dimensional Cerrado,470.0,,,,,
40001,TASU,Toma de Anclaje Superior,0.0,,,,,
40001,TAIN,Toma de Anclaje Inferior,0.0,,,,,
40001,DIMR,Dimensional Carrera,217.0,,,,,
40001,DIMA,Dimensional Abierto,687.0,,,,,
40001,REM,Reemplazado por,,,,,,
40002,DIMC,Dimensional Cerrado,470.0,,,,,
40002,TASU,Toma de Anclaje Superior,0.0,,,,,
40002,TAIN,Toma de Anclaje Inferior,0.0,,,,,
40002,DIMR,Dimensional Carrera,217.0,,,,,
40002,DIMA,Dimensional Abierto,687.0,,,,,
40002,REM,Reemplazado por,,,,,,
40003,DIMC,Dimensional Cerrado,476.0,,,,,
40003,TASU,Toma de Anclaje Superior,0.0,,,,,
40003,TAIN,Toma de Anclaje Inferior,0.0,,,,,
40003,DIMR,Dimensional Carrera,161.0,,,,,
40003,DIMA,Dimensional Abierto,637.0,,,,,
40004,DIMC,Dimensional Cerrado,476.0,,,,,
40004,TASU,Toma de Anclaje Superior,0.0,,,,,
40004,TAIN,Toma de Anclaje Inferior,0.0,,,,,
40004,DIMR,Dimensional Carrera,161.0,,,,,
40004,DIMA,Dimensional Abierto,637.0,,,,,
40005,DIMC,Dimensional Cerrado,458.0,,,,,
40005,TASU,Toma de Anclaje Superior,0.0,,,,,
40005,TAIN,Toma de Anclaje Inferior,0.0,,,,,
40005,DIMR,Dimensional Carrera,187.0,,,,,
40005,DIMA,Dimensional Abierto,645.0,,,,,
42115,DIMC,Dimensional Cerrado,351.0,,,,,
42115,TASU,Toma de Anclaje Superior,0.0,,,,,
42115,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42115,DIMR,Dimensional Carrera,244.0,,,,,
42115,DIMA,Dimensional Abierto,595.0,,,,,
42140,DIMC,Dimensional Cerrado,314.0,,,,,
42140,TASU,Toma de Anclaje Superior,0.0,,,,,
42140,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42140,DIMR,Dimensional Carrera,228.0,,,,,
42140,DIMA,Dimensional Abierto,542.0,,,,,
42147,DIMC,Dimensional Cerrado,322.0,,,,,
42147,TASU,Toma de Anclaje Superior,0.0,,,,,
42147,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42147,DIMR,Dimensional Carrera,210.0,,,,,
42147,DIMA,Dimensional Abierto,532.0,,,,,
42159,DIMC,Dimensional Cerrado,282.0,,,,,
42159,TASU,Toma de Anclaje Superior,0.0,,,,,
42159,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42159,DIMR,Dimensional Carrera,183.0,,,,,
42159,DIMA,Dimensional Abierto,465.0,,,,,
42208,DIMC,Dimensional Cerrado,314.0,,,,,
42208,TASU,Toma de Anclaje Superior,0.0,,,,,
42208,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42208,DIMR,Dimensional Carrera,180.0,,,,,
42208,DIMA,Dimensional Abierto,494.0,,,,,
42216,DIMC,Dimensional Cerrado,339.0,,,,,
42216,TASU,Toma de Anclaje Superior,0.0,,,,,
42216,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42216,DIMR,Dimensional Carrera,223.0,,,,,
42216,DIMA,Dimensional Abierto,562.0,,,,,
42255,DIMC,Dimensional Cerrado,282.0,,,,,
42255,TASU,Toma de Anclaje Superior,0.0,,,,,
42255,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42255,DIMR,Dimensional Carrera,59.0,,,,,
42255,DIMA,Dimensional Abierto,341.0,,,,,
42269,DIMC,Dimensional Cerrado,290.0,,,,,
42269,TASU,Toma de Anclaje Superior,0.0,,,,,
42269,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42269,DIMR,Dimensional Carrera,189.0,,,,,
42269,DIMA,Dimensional Abierto,479.0,,,,,
42282,DIMC,Dimensional Cerrado,237.0,,,,,
42282,TASU,Toma de Anclaje Superior,0.0,,,,,
42282,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42282,DIMR,Dimensional Carrera,122.0,,,,,
42282,DIMA,Dimensional Abierto,359.0,,,,,
42289,DIMC,Dimensional Cerrado,230.0,,,,,
42289,TASU,Toma de Anclaje Superior,0.0,,,,,
42289,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42289,DIMR,Dimensional Carrera,144.0,,,,,
42289,DIMA,Dimensional Abierto,374.0,,,,,
42290,DIMC,Dimensional Cerrado,197.0,,,,,
42290,TASU,Toma de Anclaje Superior,0.0,,,,,
42290,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42290,DIMR,Dimensional Carrera,111.0,,,,,
42290,DIMA,Dimensional Abierto,308.0,,,,,
42297,DIMC,Dimensional Cerrado,241.0,,,,,
42297,TASU,Toma de Anclaje Superior,0.0,,,,,
42297,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42297,DIMR,Dimensional Carrera,135.0,,,,,
42297,DIMA,Dimensional Abierto,376.0,,,,,
42330,DIMC,Dimensional Cerrado,312.0,,,,,
42330,TASU,Toma de Anclaje Superior,0.0,,,,,
42330,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42330,DIMR,Dimensional Carrera,213.0,,,,,
42330,DIMA,Dimensional Abierto,525.0,,,,,
42416,DIMC,Dimensional Cerrado,291.0,,,,,
42416,TASU,Toma de Anclaje Superior,0.0,,,,,
42416,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42416,DIMR,Dimensional Carrera,192.0,,,,,
42416,DIMA,Dimensional Abierto,483.0,,,,,
42416,REM,Reemplazado por,,,,,,
42437,DIMC,Dimensional Cerrado,217.0,,,,,
42437,TASU,Toma de Anclaje Superior,0.0,,,,,
42437,TAIN,Toma de Anclaje Inferior,0.0,,,,,
42437,DIMR,Dimensional Carrera,120.0,,,,,
42437,DIMA,Dimensional Abierto,337.0,,,,,
43803,DIMC,Dimensional Cerrado,371.0,,,,,
43803,TASU,Toma de Anclaje Superior,0.0,,,,,
43803,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43803,DIMR,Dimensional Carrera,159.0,,,,,
43803,DIMA,Dimensional Abierto,530.0,,,,,
43804,DIMC,Dimensional Cerrado,355.0,,,,,
43804,TASU,Toma de Anclaje Superior,0.0,,,,,
43804,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43804,DIMR,Dimensional Carrera,155.0,,,,,
43804,DIMA,Dimensional Abierto,510.0,,,,,
43805,DIMC,Dimensional Cerrado,356.0,,,,,
43805,TASU,Toma de Anclaje Superior,0.0,,,,,
43805,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43805,DIMR,Dimensional Carrera,145.0,,,,,
43805,DIMA,Dimensional Abierto,501.0,,,,,
43806,DIMC,Dimensional Cerrado,376.0,,,,,
43806,TASU,Toma de Anclaje Superior,0.0,,,,,
43806,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43806,DIMR,Dimensional Carrera,174.0,,,,,
43806,DIMA,Dimensional Abierto,550.0,,,,,
43807,DIMC,Dimensional Cerrado,356.0,,,,,
43807,TASU,Toma de Anclaje Superior,0.0,,,,,
43807,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43807,DIMR,Dimensional Carrera,145.0,,,,,
43807,DIMA,Dimensional Abierto,501.0,,,,,
43901,DIMC,Dimensional Cerrado,317.0,,,,,
43901,TASU,Toma de Anclaje Superior,0.0,,,,,
43901,TAIN,Toma de Anclaje Inferior,0.0,,,,,
43901,DIMR,Dimensional Carrera,152.0,,,,,
43901,DIMA,Dimensional Abierto,469.0,,,,,
44101,DIMC,Dimensional Cerrado,458.0,,,,,
44101,TASU,Toma de Anclaje Superior,0.0,,,,,
44101,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44101,DIMR,Dimensional Carrera,187.0,,,,,
44101,DIMA,Dimensional Abierto,645.0,,,,,
44101,REM,Reemplazado por,,,,,,
44102,DIMC,Dimensional Cerrado,470.0,,,,,
44102,TASU,Toma de Anclaje Superior,0.0,,,,,
44102,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44102,DIMR,Dimensional Carrera,217.0,,,,,
44102,DIMA,Dimensional Abierto,687.0,,,,,
44103,DIMC,Dimensional Cerrado,370.0,,,,,
44103,TASU,Toma de Anclaje Superior,0.0,,,,,
44103,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44103,DIMR,Dimensional Carrera,184.0,,,,,
44103,DIMA,Dimensional Abierto,554.0,,,,,
44104,DIMC,Dimensional Cerrado,376.0,,,,,
44104,TASU,Toma de Anclaje Superior,0.0,,,,,
44104,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44104,DIMR,Dimensional Carrera,152.0,,,,,
44104,DIMA,Dimensional Abierto,528.0,,,,,
44107,DIMC,Dimensional Cerrado,476.0,,,,,
44107,TASU,Toma de Anclaje Superior,0.0,,,,,
44107,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44107,DIMR,Dimensional Carrera,161.0,,,,,
44107,DIMA,Dimensional Abierto,637.0,,,,,
44110,DIMC,Dimensional Cerrado,470.0,,,,,
44110,TASU,Toma de Anclaje Superior,0.0,,,,,
44110,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44110,DIMR,Dimensional Carrera,217.0,,,,,
44110,DIMA,Dimensional Abierto,687.0,,,,,
44111,DIMC,Dimensional Cerrado,476.0,,,,,
44111,TASU,Toma de Anclaje Superior,0.0,,,,,
44111,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44111,DIMR,Dimensional Carrera,161.0,,,,,
44111,DIMA,Dimensional Abierto,637.0,,,,,
44113,DIMC,Dimensional Cerrado,372.0,,,,,
44113,TASU,Toma de Anclaje Superior,0.0,,,,,
44113,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44113,DIMR,Dimensional Carrera,160.0,,,,,
44113,DIMA,Dimensional Abierto,532.0,,,,,
44114,DIMC,Dimensional Cerrado,495.0,,,,,
44114,TASU,Toma de Anclaje Superior,0.0,,,,,
44114,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44114,DIMR,Dimensional Carrera,175.0,,,,,
44114,DIMA,Dimensional Abierto,670.0,,,,,
44115,DIMC,Dimensional Cerrado,473.0,,,,,
44115,TASU,Toma de Anclaje Superior,0.0,,,,,
44115,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44115,DIMR,Dimensional Carrera,193.0,,,,,
44115,DIMA,Dimensional Abierto,666.0,,,,,
44117,DIMC,Dimensional Cerrado,370.0,,,,,
44117,TASU,Toma de Anclaje Superior,0.0,,,,,
44117,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44117,DIMR,Dimensional Carrera,188.0,,,,,
44117,DIMA,Dimensional Abierto,558.0,,,,,
44118,DIMC,Dimensional Cerrado,370.0,,,,,
44118,TASU,Toma de Anclaje Superior,0.0,,,,,
44118,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44118,DIMR,Dimensional Carrera,165.0,,,,,
44118,DIMA,Dimensional Abierto,535.0,,,,,
44119,DIMC,Dimensional Cerrado,372.0,,,,,
44119,TASU,Toma de Anclaje Superior,0.0,,,,,
44119,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44119,DIMR,Dimensional Carrera,190.0,,,,,
44119,DIMA,Dimensional Abierto,562.0,,,,,
44123,DIMC,Dimensional Cerrado,389.0,,,,,
44123,TASU,Toma de Anclaje Superior,0.0,,,,,
44123,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44123,DIMR,Dimensional Carrera,137.0,,,,,
44123,DIMA,Dimensional Abierto,526.0,,,,,
44401,DIMC,Dimensional Cerrado,293.0,,,,,
44401,TASU,Toma de Anclaje Superior,0.0,,,,,
44401,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44401,DIMR,Dimensional Carrera,143.0,,,,,
44401,DIMA,Dimensional Abierto,436.0,,,,,
44402,DIMC,Dimensional Cerrado,285.0,,,,,
44402,TASU,Toma de Anclaje Superior,0.0,,,,,
44402,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44402,DIMR,Dimensional Carrera,191.0,,,,,
44402,DIMA,Dimensional Abierto,476.0,,,,,
44403,DIMC,Dimensional Cerrado,365.0,,,,,
44403,TASU,Toma de Anclaje Superior,0.0,,,,,
44403,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44403,DIMR,Dimensional Carrera,163.0,,,,,
44403,DIMA,Dimensional Abierto,528.0,,,,,
44405,DIMC,Dimensional Cerrado,323.0,,,,,
44405,TASU,Toma de Anclaje Superior,0.0,,,,,
44405,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44405,DIMR,Dimensional Carrera,147.0,,,,,
44405,DIMA,Dimensional Abierto,470.0,,,,,
44407,DIMC,Dimensional Cerrado,354.0,,,,,
44407,TASU,Toma de Anclaje Superior,0.0,,,,,
44407,TAIN,Toma de Anclaje Inferior,0.0,,,,,
44407,DIMR,Dimensional Carrera,159.0,,,,,
44407,DIMA,Dimensional Abierto,513.0,,,,,
44408,DIMC,Dimensional Cerrado,292.0,,,,,
44408,TASU,Toma de Anclaje Superior,0.0,,,,,
44408,TAIN,Toma de Anclaje Inferior,0.0,,,,,
