Codigo,TipoProducto,PaisOrigen,Linea,Toma,Observacion,Descripcion,Activo
43805,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
43806,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
43807,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
43901,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44101,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44102,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44103,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Cart,,,SI
44104,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44107,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44110,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44111,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44113,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44114,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
44115,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
44117,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
44118,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44119,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
44123,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
44401,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44402,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44403,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44405,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44407,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44408,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44410,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44412,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44413,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44414,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44415,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44416,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44418,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44419,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44420,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44421,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44422,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44423,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44424,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44425,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44426,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44427,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44428,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44429,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44439,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44440,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44441,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44442,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44443,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44445,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44446,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44447,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44449,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44451,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44452,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44453 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44454 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
46401,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
46402,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
38841c,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,NO
38873,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38842c,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,NO
38840c,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,SI
38836c,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,NO
38838c,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/E ,,,NO
46504 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
46503 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94171 I,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
83713,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83717,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83721,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83726,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83733,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83735,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83736,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83737,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
83738,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/T ,,,SI
83739,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/T ,,,NO
83740,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83741,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83742,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83743,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/T ,,,NO
83744,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,T/O ,,,NO
83745,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/M ,,,SI
83746,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/M ,,,SI
83748,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/O ,,,SI
84725,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84727,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
84728,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84729,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/T ,,,SI
84730,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
94007,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
94008,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,NO
94009,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
94102,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94119,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94120,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94129,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94130,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94131,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94135,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94137,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94138,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Est.,,,SI
94139,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Est.,,,SI
94141 D,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Est.,,,SI
94142 I,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Est.,,,SI
84751,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
95601,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
83824,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,Tope y fuelle incluido,,SI
94172 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94173 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83799,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
94140,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,Est.,,,SI
83747,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,O/O ,,,NO
94238,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94239,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94143,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83749,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
83750,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
44124,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Cart,,,SI
84747,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
44458,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
38056,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38057,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
38055,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83809,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83752,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
38059,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84731,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/T ,,,SI
84732,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
44456,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44457,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
38212,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
44455,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83810,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
94144,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
38211,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83866,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
95605 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
84749,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
95606 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83829,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
83805,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83806,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
95305,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
84744,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
95304,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
83800,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83802,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84745,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
84750,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,O/O ,,,SI
83756,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/O ,,,SI
83769,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/M ,,,NO
84734,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
84733,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
44460,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
38216,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
44459,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
38217,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
44461 I,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
38214,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
94146 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94147 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83754,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
83757,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/M ,,,NO
44462 D,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,Est.,,,SI
94151,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94152,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
83759,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,SI
94234,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
94235,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
38218,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,O/O ,,,SI
83764,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,E/O ,,,SI
83760 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/M ,,,NO
83761 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/M ,,,NO
83767,Amortiguadores                     ,Mercosur                      , Fric Rot Max            ,O/O ,,,SI
44465 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
44466 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
83765 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83766 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83770,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
95301,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
44464,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
84736,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
94157,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
95501 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
95502 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
94155,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,SI
84737,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,SI
84738,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/T ,,,SI
84739,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,T/O ,,,SI
95403 I,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
95404 D,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,Est.,,,NO
83777G,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83776G,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,O/O ,,,NO
83784,Amortiguadores                     ,Catalogo Brasil               , Fric Rot Max            ,E/O ,,,SI
83778,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/T ,,,NO
83775G,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,E/O ,,,NO
83779,Amortiguadores                     ,Argentina                     , Fric Rot Max            ,T/O ,,,NO
