Codigo,Marca,Modelo,Posicion,Linea,Aplica_por_anos,Ano_inicial,Ano_fin,Observaciones
376032SP,BMW,Z3 (1.8/1.9/2.0/2.2/3.0),T,Línea Liviana,SI,01-1994,12-1999,
376026SP,AUDI,A6 (Exc. tracción quattro),T,Línea Liviana,SI,05-2000,01-2005,
376026SP,VOLKSWAGEN,PASSAT / VARIANT (EXC. SYNCRO / TRIPTONIC) B5,T,Línea Liviana,SI,09-1999,05-2005,
376046SP,MINI,"COOPER, COOPER S, ONE",T,Línea Liviana,SI,03-2002,10-2006,
376131SP,HONDA,ACCORD,T,Línea Liviana,SI,01-2003,12-2008,
376050SP,MINI,MINI / CLUBMAN,T,Línea Liviana,SI,10-2006,12-2014,
376044SP,AUDI,A6 (Exc. tracción quattro),D,Línea Liviana,SI,05-2000,01-2005,
376044SP,AUDI,A6 (Tracción quattro),D,Línea Liviana,SI,05-2000,01-2005,
376044SP,VOLKSWAGEN,PASSAT / VARIANT (EXC. SYNCRO / TRIPTONIC) B5,D,Línea Liviana,SI,09-1999,05-2005,
376044SP,VOLKSWAGEN,PASSAT / VARIANT SYNCRO / TRIPTONIC (B5),D,Línea Liviana,SI,09-1999,05-2005,
376145SP,PEUGEOT,307 CC,T,Línea Liviana,SI,01-2003,,
376129SP,PEUGEOT,407,D,Línea Liviana,SI,01-2004,,
376129SP,CITRÖEN,C5  (EXC.SUSP. HYDRACTIVE),D,Línea Liviana,NO,,,
376166SP,PEUGEOT,206 CC,T,Línea Liviana,NO,,,
742242SP,VOLKSWAGEN,"PASSAT 1.6, 1.6 FSi, 2.0 FSi, 2.0 TFSi, 
1.9 TDi, 2.0 TDi",D,Línea Liviana,SI,03-2005,,
742026SP,BMW,520/523/525/528/530 (E39),Delantero Derecho,Línea Liviana,SI,09-1995,09-2003,
742027SP,BMW,520/523/525/528/530 (E39),Delantero Izquierdo,Línea Liviana,SI,09-1995,09-2003,
742010SP,BMW,SERIE 3 (E46),Delantero Derecho,Línea Liviana,SI,01-1999,04-2001,
742011SP,BMW,SERIE 3 (E46),Delantero Izquierdo,Línea Liviana,SI,01-1999,04-2001,
742012SP,BMW,COMPACT 325ti / 320td (E46),Delantero Derecho,Línea Liviana,SI,04-2001,12-2004,
742013SP,BMW,COMPACT 325ti / 320td (E46),Delantero Izquierdo,Línea Liviana,SI,04-2001,12-2004,
742038SP,BMW,Z3 (1.8/1.9/2.0/2.2/3.0),Delantero Derecho,Línea Liviana,SI,01-1994,12-1999,
742039SP,BMW,Z3 (1.8/1.9/2.0/2.2/3.0),Delantero Izquierdo,Línea Liviana,SI,01-1994,12-1999,
742077SP,MINI,"COOPER, COOPER S, ONE",Delantero Derecho,Línea Liviana,SI,03-2002,10-2006,
742078SP,MINI,"COOPER, COOPER S, ONE",Delantero Izquierdo,Línea Liviana,SI,03-2002,10-2006,
37158,NISSAN,PATHFINDER,T,Línea Liviana,SI,01-1996,06-1999,
37015,FORD,BRONCO II ALL,D,Línea Liviana,SI,01-1990,12-1990,
37015,FORD,EXPLORER ALL,D,Línea Liviana,SI,01-1991,11-1994,
37015,FORD,RANGER (4X2) LIGHT DUTY PICKUP ALL,D,Línea Liviana,SI,01-1990,,
37015,FORD,RANGER (4X4) LIGHT DUTY PICKUP ALL EX HIGH RYDER OPTION,D,Línea Liviana,SI,01-1990,,
37015,MAZDA,B2300,D,Línea Liviana,SI,01-1994,12-1997,w/ 2 W.D.
37015,MAZDA,B3000,D,Línea Liviana,SI,01-1994,12-1998,w/Rear Stabilizer Bar+w/ 4 W.D.
37015,MAZDA,B4000,D,Línea Liviana,SI,01-1994,12-1998,w/Rear Stabilizer Bar+w/ 4 W.D.
37015,FORD,BRONCO II,D,Línea Liviana,SI,01-1990,12-1990,
37015,MAZDA,NAVAJO - DX,D,Línea Liviana,SI,01-1992,12-1994,
37015,MAZDA,NAVAJO - LX,D,Línea Liviana,SI,01-1991,12-1994,
37015,FORD,RANGER,D,Línea Liviana,SI,01-1990,12-1999,w/Rear Stabilizer Bar+Exc.High Ryder Option+w/ 4 W.D.
37015,FORD,RANGER - SUPER,D,Línea Liviana,SI,01-1990,12-1998,w/Rear Stabilizer Bar+Exc.High Ryder Option+w/ 4 W.D.
37015,FORD,EXPLORER 2WD/ 4WD,D,Línea Liviana,SI,01-1991,12-1994,
37021,CHEVROLET,S10 PICK UP / BLAZER 4X2 (USA),T,Línea Liviana,SI,01-1982,12-1996,
37021,CHEVROLET,S10 PICK UP / BLAZER 4X4 (USA),T,Línea Liviana,SI,01-1983,12-1996,
37021,CHEVROLET,BLAZER ALL (4X2),T,Línea Liviana,SI,01-1995,,
37021,CHEVROLET,BLAZER ALL (4X4),T,Línea Liviana,SI,01-1995,,
37021,CHEVROLET,BLAZER S MODELS (4X2),T,Línea Liviana,SI,01-1983,12-1994,
37021,CHEVROLET,BLAZER S MODELS (4X4),T,Línea Liviana,SI,01-1983,12-1994,
37021,OLDSMOBILE,BRAVADA ALL,T,Línea Liviana,SI,01-1991,12-1993,
37021,GMC,JIMMY ALL (4X2),T,Línea Liviana,SI,01-1995,,
37021,GMC,JIMMY ALL (4X4),T,Línea Liviana,SI,01-1995,,
37021,GMC,JIMMY S MODELS (4X2) INCL. 4 DOORS,T,Línea Liviana,SI,01-1983,12-1994,
37021,GMC,JIMMY S MODELS (4X4) INCL. 4 DOORS,T,Línea Liviana,SI,01-1983,12-1994,
37021,CHEVROLET,S MODELS LIGHT DUTY PICKUP S10 SER (4X4) EX ZR2 WIDE ST PA,T,Línea Liviana,SI,01-1994,,
37021,CHEVROLET,S MODELS LIGHT DUTY PICKUP S10 SERIES (4 X 2),T,Línea Liviana,SI,01-1982,12-1993,
37021,CHEVROLET,S MODELS LIGHT DUTY PICKUP S10 SERIES (4 X 4),T,Línea Liviana,SI,01-1983,12-1993,
37021,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X2),T,Línea Liviana,SI,01-1982,12-1993,
37021,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X4) EX ZR2 HIGHRID,T,Línea Liviana,SI,01-1994,,
37021,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X4) INCL. SYCLONE,T,Línea Liviana,SI,01-1983,12-1993,
37021,OLDSMOBILE,BRAVADA,T,Línea Liviana,SI,01-1991,12-1999,
37021,OLDSMOBILE,BRAVADA - REGIONAL,T,Línea Liviana,SI,01-1998,12-1998,
37021,ISUZU,HOMBRE,T,Línea Liviana,SI,01-1996,12-1997,w/ 2 W.D.
37021,CHEVROLET,S10 BLAZER,T,Línea Liviana,SI,01-1983,12-1999,w/ 4 W.D.
37021,CHEVROLET,S10 PICKUP,T,Línea Liviana,SI,01-1982,12-1999,w/ 4 W.D.
37021,GMC,S15 JIMMY,T,Línea Liviana,SI,01-1983,12-1999,w/ 4 W.D.
37021,GMC,S15 JIMMY - ENVOY,T,Línea Liviana,SI,01-1999,12-1999,w/ 2 W.D.
37021,GMC,S15 PICKUP,T,Línea Liviana,SI,01-1982,12-1990,w/ 4 W.D.
37021,GMC,S15 SONOMA,T,Línea Liviana,SI,01-1991,12-1999,w/ 4 W.D.
37021,GMC,S15 SONOMA - GT,T,Línea Liviana,SI,01-1992,12-1992,w/ 4 W.D.
37021,GMC,S15 SYCLONE,T,Línea Liviana,SI,01-1991,12-1991,w/ 4 W.D.
37021,GMC,S15 TYPHOON,T,Línea Liviana,SI,01-1992,12-1993,w/ 4 W.D.
37027,JEEP,CHEROKEE ALL (XJ),T,Línea Liviana,SI,01-1984,12-1990,
37027,JEEP,CHEROKEE CHEROKEE XJ EX GRAND CHEROKEE,T,Línea Liviana,SI,01-1991,,
37027,RENAULT,JEEP CHEROKEE (XJ),T,Línea Liviana,SI,01-1984,12-1990,
37027,JEEP,WAGONEER ALL (XJ)  EX GRAND WAGONEER,T,Línea Liviana,SI,01-1984,12-1990,
37027,JEEP,CHEROKEE 2WD / 4WD,T,Pick Ups y Utilitarios,SI,01-1984,12-1999,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - BRIARWOOD,T,Línea Liviana,SI,01-1991,12-1992,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - CHIEF,T,Línea Liviana,SI,01-1986,12-1988,(XJ)
37027,JEEP,CHEROKEE - CLASSIC,T,Línea Liviana,SI,01-1996,12-1996,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - COUNTRY,T,Línea Liviana,SI,01-1993,12-1997,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - LAREDO,T,Línea Liviana,SI,01-1986,12-1992,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - LIMITED,T,Línea Liviana,SI,01-1987,12-1992,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - PIONEER,T,Línea Liviana,SI,01-1986,12-1990,(XJ)
37027,JEEP,CHEROKEE - POSTAL,T,Línea Liviana,SI,01-1993,12-1997,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - SE,T,Línea Liviana,SI,01-1994,12-1997,(XJ)+Exc.Grand Cherokee
37027,JEEP,CHEROKEE - SPORT,T,Línea Liviana,SI,01-1990,12-1997,(XJ)+Exc.Grand Cherokee
37027,JEEP,WAGONEER,T,Línea Liviana,SI,01-1984,12-1987,(XJ)+Exc.Grand Wagoneer
37027,JEEP,WAGONEER - LIMITED,T,Línea Liviana,SI,01-1986,12-1990,(XJ)+Exc.Grand Wagoneer
37027,JEEP,CHEROKEE 2WD / 4WD,T,Línea Liviana,SI,01-1984,12-2001,
37035,FORD,EXPLORER,T,Línea Liviana,SI,01-1995,,
37035,MERCURY,MOUNTAINEER SPORT UTILITY,T,Línea Liviana,SI,01-1996,,
37035,FORD,EXPLORER,T,Línea Liviana,SI,01-1991,12-1999,4 W.D.+Exc.Automatic Ride Control
37035,MERCURY,MOUNTAINEER,T,Línea Liviana,SI,01-1997,12-1999,Sport Utility
37035,MAZDA,NAVAJO - DX,T,Línea Liviana,SI,01-1992,12-1994,
37035,MAZDA,NAVAJO - LX,T,Línea Liviana,SI,01-1991,12-1994,
37035,FORD,EXPLORER 2WD/ 4WD,T,Línea Liviana,SI,01-1991,12-1994,
37066,DODGE,DAKOTA PICKUP ALL (4X2) INCL. CLUB CAB,D,Línea Liviana,SI,01-1987,12-1996,
37066,DODGE,DAKOTA - SHELBY,D,Línea Liviana,SI,01-1989,12-1989,w/ 2 W.D.
37066,DODGE,DAKOTA - SPORT,D,Línea Liviana,SI,01-1988,12-1991,w/ 2 W.D.
37066,DODGE,DAKOTA 2WD,D,Línea Liviana,SI,01-1987,12-1996,
37067,DODGE,DAKOTA PICKUP ALL (4X2) INCL. CLUB CAB,T,Línea Liviana,SI,01-1987,12-1996,
37067,DODGE,DAKOTA - SHELBY,T,Línea Liviana,SI,01-1989,12-1989,w/ 2 W.D.
37067,DODGE,DAKOTA - SPORT,T,Línea Liviana,SI,01-1988,12-1991,w/ 2 W.D.
37067,DODGE,DAKOTA 2WD,T,Línea Liviana,SI,01-1987,12-1996,
37068,DODGE,DAKOTA PICKUP ALL (4X4),D,Línea Liviana,SI,01-1987,12-1996,
37068,DODGE,DAKOTA - SHELBY,D,Línea Liviana,SI,01-1989,12-1989,w/ 4 W.D.
37068,DODGE,DAKOTA - SPORT,D,Línea Liviana,SI,01-1988,12-1991,w/ 4 W.D.
37068,DODGE,DAKOTA 4WD,D,Línea Liviana,SI,01-1987,12-1996,
37069,DODGE,DAKOTA PICKUP ALL (4X4),T,Línea Liviana,SI,01-1987,12-1996,
37069,DODGE,DAKOTA - SHELBY,T,Línea Liviana,SI,01-1989,12-1989,w/ 4 W.D.
37069,DODGE,DAKOTA - SPORT,T,Línea Liviana,SI,01-1988,12-1991,w/ 4 W.D.
37069,DODGE,DAKOTA 4WD,T,Línea Liviana,SI,01-1987,12-1996,
37070,PONTIAC,SUNRUNNER (CANADIAN) ALL,T,Línea Liviana,SI,01-1994,12-1997,
37070,CHEVROLET,TRACKER (CANADIAN) ALL,T,Línea Liviana,SI,01-1989,,
37070,GEO,TRACKER ALL,T,Línea Liviana,SI,01-1989,,
37070,ASUNA,SUNRUNNER,T,Línea Liviana,SI,01-1992,12-1995,
37070,CHEVROLET,TRACKER,T,Línea Liviana,SI,01-1989,12-1999,Exc.ABS Brakes
37070,SUZUKI,VITARA / SIDEKICK,T,Línea Liviana,SI,01-1989,01-1999,EXCEPTO CON ABS
37071,CHEVROLET,LUMINA APV VAN EX   AUT REAR AIR LEV SYST,T,Línea Liviana,SI,01-1989,12-1996,
37071,OLDSMOBILE,SILHOUETTE ALL EX AUT REAR AIR LEVELLING,T,Línea Liviana,SI,01-1990,12-1996,
37071,PONTIAC,TRANS SPORT ALL EX AUT REAR AIR LEV SYSTEM,T,Línea Liviana,SI,01-1990,12-1996,
37071,CHEVROLET,LUMINA APV,T,Línea Liviana,SI,01-1990,12-1996,Exc.Automatic Rear Air Leveling System
37071,OLDSMOBILE,SILHOUETTE,T,Línea Liviana,SI,01-1990,12-1996,Exc.Automatic Rear Air Leveling System
37071,PONTIAC,TRANS SPORT,T,Línea Liviana,SI,01-1990,12-1996,Exc.Automatic Rear Air Leveling System
37071,CHEVROLET,LUMINA (APV) VAN,T,Línea Liviana,SI,01-1989,12-1996,
37081,JEEP,CHEROKEE GRAND CHEROKEE ZJ EX UP CTY SUS,D,Línea Liviana,SI,01-1993,,
37081,JEEP,GRAND CHEROKEE,D,Pick Ups y Utilitarios,SI,01-1993,12-1993,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - 5.9 LIMITED,D,Línea Liviana,SI,01-1998,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - LAREDO,D,Línea Liviana,SI,01-1993,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - LIMITED,D,Línea Liviana,SI,01-1993,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - ORVIS,D,Línea Liviana,SI,01-1995,12-1997,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - SE,D,Línea Liviana,SI,01-1994,12-1995,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE - TSI,D,Línea Liviana,SI,01-1998,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37081,JEEP,GRAND CHEROKEE,D,Línea Liviana,SI,01-1993,07-1999,
37081,JEEP,GRAND CHEROKEE,D,Línea Liviana,SI,07-1999,12-2004,
37081,CHRYSLER,GRAND CHEROKEE,D,Línea Liviana,SI,01-1997,07-1999,
37081,CHRYSLER,GRAND CHEROKEE,D,Línea Liviana,SI,07-1999,12-2004,
37082,JEEP,CHEROKEE GRAND CHEROKEE ZJ EX UP CTY SUS,T,Línea Liviana,SI,01-1993,,
37082,JEEP,GRAND CHEROKEE,T,Pick Ups y Utilitarios,SI,01-1993,12-1993,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - 5.9 LIMITED,T,Línea Liviana,SI,01-1998,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - LAREDO,T,Línea Liviana,SI,01-1993,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - LIMITED,T,Línea Liviana,SI,01-1993,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - ORVIS,T,Línea Liviana,SI,01-1995,12-1997,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - SE,T,Línea Liviana,SI,01-1994,12-1995,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE - TSI,T,Línea Liviana,SI,01-1998,12-1998,(ZJ)+Exc.w/ Up Country Susp.
37082,JEEP,GRAND CHEROKEE,T,Línea Liviana,SI,01-1993,07-1999,
37082,CHRYSLER,GRAND CHEROKEE,T,Línea Liviana,SI,01-1997,07-1999,
37083,JEEP,CHEROKEE CHEROKEE XJ EX GRAND CHEROKEE,D,Línea Liviana,SI,01-1991,,
37083,JEEP,COMANCHE MJ SERIES PICKUP ALL,D,Línea Liviana,SI,01-1991,12-1992,
37083,JEEP,CHEROKEE 2WD / 4WD,D,Pick Ups y Utilitarios,SI,01-1991,12-1999,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - BRIARWOOD,D,Línea Liviana,SI,01-1991,12-1992,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - CLASSIC,D,Línea Liviana,SI,01-1996,12-1996,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - COUNTRY,D,Línea Liviana,SI,01-1993,12-1997,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - LAREDO,D,Línea Liviana,SI,01-1991,12-1992,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - LIMITED,D,Línea Liviana,SI,01-1991,12-1992,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - POSTAL,D,Línea Liviana,SI,01-1993,12-1997,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - SE,D,Línea Liviana,SI,01-1994,12-1997,(XJ)+Exc.Grand Cherokee
37083,JEEP,CHEROKEE - SPORT,D,Línea Liviana,SI,01-1991,12-1997,(XJ)+Exc.Grand Cherokee
37083,JEEP,COMANCHE,D,Línea Liviana,SI,01-1991,12-1992,
37083,JEEP,COMANCHE - ELIMINATOR,D,Línea Liviana,SI,01-1991,12-1992,
37083,JEEP,COMANCHE - PIONEER,D,Línea Liviana,SI,01-1991,12-1992,
37083,JEEP,CHEROKEE 2WD / 4WD,D,Línea Liviana,SI,01-1984,12-2001,
37099,CHEVROLET,S10 PICK UP / BLAZER 4X4 (USA),D,Línea Liviana,SI,01-1983,12-1996,
37099,CHEVROLET,BLAZER ALL (4X4),D,Línea Liviana,SI,01-1995,,
37099,CHEVROLET,BLAZER S MODELS (4X4),D,Línea Liviana,SI,01-1983,12-1994,
37099,OLDSMOBILE,BRAVADA ALL,D,Línea Liviana,SI,01-1991,12-1993,
37099,GMC,JIMMY ALL (4X4),D,Línea Liviana,SI,01-1995,,
37099,GMC,JIMMY S MODELS (4X4) INCL. 4 DOORS,D,Línea Liviana,SI,01-1983,12-1994,
37099,CHEVROLET,S MODELS LIGHT DUTY PICKUP S10 SERIES (4 X 4),D,Línea Liviana,SI,01-1983,,
37099,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X4) EX ZR2 HIGHRID,D,Línea Liviana,SI,01-1994,,
37099,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X4) INCL. SYCLONE,D,Línea Liviana,SI,01-1983,12-1993,
37099,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X4) W/ZR2 HIGHR PA,D,Línea Liviana,SI,01-1994,,
37099,OLDSMOBILE,BRAVADA,D,Línea Liviana,SI,01-1991,12-1999,
37099,OLDSMOBILE,BRAVADA - REGIONAL,D,Línea Liviana,SI,01-1998,12-1998,
37099,GMC,S15 JIMMY,D,Línea Liviana,SI,01-1983,12-1999,w/ZR2 Highrider Package+w/ 4 W.D.
37099,GMC,S15 JIMMY - ENVOY,D,Línea Liviana,SI,01-1999,12-1999,w/ZR2 Highrider Package+w/ 4 W.D.
37099,GMC,S15 PICKUP,D,Línea Liviana,SI,01-1983,12-1990,w/ 4 W.D.
37099,GMC,S15 SONOMA,D,Línea Liviana,SI,01-1991,12-1999,w/ZR2 Highrider Package+w/ 4 W.D.
37099,GMC,S15 SONOMA - GT,D,Línea Liviana,SI,01-1992,12-1992,w/ 4 W.D.
37099,GMC,S15 SYCLONE,D,Línea Liviana,SI,01-1991,12-1991,w/ 4 W.D.
37099,GMC,S15 TYPHOON,D,Línea Liviana,SI,01-1992,12-1993,w/ 4 W.D.
37122,FORD,EXPLORER,D,Línea Liviana,SI,01-1995,,
37122,MERCURY,MOUNTAINEER SPORT UTILITY,D,Línea Liviana,SI,01-1996,,
37122,FORD,EXPLORER,D,Pick Ups y Utilitarios,SI,01-1995,12-1999,4 W.D.+Exc.Automatic Ride Control
37122,MERCURY,MOUNTAINEER,D,Línea Liviana,SI,01-1997,12-1999,Sport Utility
37122,FORD,RANGER,D,Línea Liviana,SI,01-1998,12-1999,w/Off Road Package
37122,FORD,RANGER - SUPER,D,Línea Liviana,SI,01-1998,12-1998,w/Off Road Package
37123,DODGE,CARAVAN ALL EX NIVOMAT R & ALL WH DRIVE,T,Línea Liviana,SI,03-1995,12-1996,
37123,DODGE,CARAVAN ALL EX NIVOMAT R & ALL WHEEL DR,T,Línea Liviana,SI,03-1995,,
37123,CHRYSLER,TOWN & COUNTRY ALL EX W/NIVOMAT R & ALL WH DR,T,Línea Liviana,SI,03-1995,,
37123,CHRYSLER,VOYAGER MINI VAN ALL EX NIVOMAT & ALL WH. DRIVE,T,Línea Liviana,SI,03-1995,,
37123,PLYMOUTH,VOYAGER MINI VAN ALL EX W/NIVOMAT & ALL WH. DRIV,T,Línea Liviana,SI,03-1995,,
37123,OPEL,CARAVAN,T,Línea Liviana,SI,01-1995,12-1999,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,CARAVAN - C/V,T,Línea Liviana,SI,01-1995,12-1995,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,CARAVAN - ES,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,CARAVAN - LE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,CARAVAN - SE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,CARAVAN - SPORT,T,Línea Liviana,SI,01-1996,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,GRAND CARAVAN,T,Línea Liviana,SI,01-1995,12-1999,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,GRAND CARAVAN - ES,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,GRAND CARAVAN - LE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,GRAND CARAVAN - SE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,DODGE,GRAND CARAVAN - SPORT,T,Línea Liviana,SI,01-1997,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,GRAND VOYAGER,T,Línea Liviana,SI,01-1995,12-1999,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,GRAND VOYAGER - LE,T,Línea Liviana,SI,01-1995,12-1995,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,GRAND VOYAGER - RALLYE,T,Línea Liviana,SI,01-1997,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,GRAND VOYAGER - SE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY,T,Línea Liviana,SI,01-1995,12-1996,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY - LX,T,Línea Liviana,SI,01-1996,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY - LXI,T,Línea Liviana,SI,01-1996,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY - SX,T,Línea Liviana,SI,01-1997,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY VAN,T,Línea Liviana,SI,01-1999,12-1999,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY VAN - LX,T,Línea Liviana,SI,01-1998,12-1998,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,TOWN & COUNTRY VAN - LXI,T,Línea Liviana,SI,01-1998,12-1998,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,MERCURY,VOYAGER,T,Línea Liviana,SI,01-1995,12-1999,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,VOYAGER - LE,T,Línea Liviana,SI,01-1995,12-1995,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,VOYAGER - SE,T,Línea Liviana,SI,01-1995,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,PLYMOUTH,VOYAGER - SE/RALLYE,T,Línea Liviana,SI,01-1996,12-1997,Exc.w/ Nivomat Rear Suspension & All Wheel Drive
37123,CHRYSLER,CARAVAN VAN,T,Línea Liviana,SI,01-1995,12-2000,
37123,CHRYSLER,CARAVAN VAN,T,Línea Liviana,SI,01-2001,01-2007,
37129,CHEVROLET,S10 PICK UP / BLAZER 4X2 (USA),D,Línea Liviana,SI,01-1982,12-1996,
37129,CHEVROLET,BLAZER ALL (4X2),D,Línea Liviana,SI,01-1995,,
37129,CHEVROLET,BLAZER S MODELS (4X2),D,Línea Liviana,SI,01-1994,12-1994,
37129,GMC,JIMMY ALL (4X2),D,Línea Liviana,SI,01-1995,,
37129,GMC,JIMMY S MODELS (4X2) INCL. 4 DOORS,D,Línea Liviana,SI,01-1994,12-1994,
37129,CHEVROLET,S MODELS LIGHT DUTY PICKUP S10 SERIES (4 X 2),D,Línea Liviana,SI,01-1994,,
37129,GMC,SONOMA/S-MODELS PICKUP S15 SERIES (4X2),D,Línea Liviana,SI,01-1994,,
37129,ISUZU,HOMBRE,D,Línea Liviana,SI,01-1996,12-1997,w/ 2 W.D.
37129,GMC,S15 JIMMY,D,Línea Liviana,SI,01-1994,12-1999,w/ 2 W.D.
37129,GMC,S15 JIMMY - ENVOY,D,Línea Liviana,SI,01-1999,12-1999,w/ 2 W.D.
37129,GMC,S15 SONOMA,D,Línea Liviana,SI,01-1994,12-1999,w/ 2 W.D.
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 316-318-320-325 I/IS/TD/TDS,T,Línea Liviana,SI,06-1992,12-1998,
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 316I-318I,T,Línea Liviana,SI,12-1990,06-1992,
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 316I-318I-318IS-318TDS EX E EUR,T,Línea Liviana,SI,06-1992,12-1998,
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 320I-323I-325TD-325TDS-328I,T,Línea Liviana,SI,02-1995,12-1998,
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 320I-325I-325TD,T,Línea Liviana,SI,12-1990,06-1992,
S1020,BMW,3 SERIES E36 BERLINE (EX M-TECHNIK) 320I-325I-325TD-325TDS EX E EUR,T,Línea Liviana,SI,06-1992,02-1995,
S1020,BMW,3 SERIES E36 CABRIOLET (EX M-TECHNIK) 318I EX E EUR,T,Línea Liviana,SI,01-1993,02-1995,
S1020,BMW,3 SERIES E36 CABRIOLET (EX M-TECHNIK) 318I-320I-325I-328I  E EUR,T,Línea Liviana,SI,01-1993,,
S1020,BMW,3 SERIES E36 CABRIOLET (EX M-TECHNIK) 320I-325I  EX E EUR,T,Línea Liviana,SI,01-1993,,
