Marca,Modelo,Linea,Producto,Modelo_2,Num_parte,Posicion,Desde,Hasta,Link
CITRÖEN,C4,PARRILLAS DE SUSPENSION,Componentes de suspensión,C4 (EXCEPTO LOUNGE),PS32610I,DERECHA,2000-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68315
CITRÖEN,C4,PARRILLAS DE SUSPENSION,Componentes de suspensión,C4 (EXCEPTO LOUNGE),PS32620I,IZQUIERDA,2000-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68316
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 (EXCEPTO LOUNGE),94220,Delantero Izquierdo,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69836
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 (EXCEPTO LOUNGE),83797,TRASERO,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66642
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 (EXCEPTO LOUNGE),94219,Delantero Derecho,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69838
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 (EXCEPTO LOUNGE),94219MI,Delantero Derecho,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69842/p/monroe
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 (EXCEPTO LOUNGE),83797MI,TRASERO,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67767/p/monroe
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 (EXCEPTO LOUNGE),94220MI,Delantero Izquierdo,2007-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69844/p/monroe
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 PICASSO & GRAND PICASSO,94236,DELANTERO,2010-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69932
CITRÖEN,C4,OEspectrum,Amortiguadores,C4 PICASSO & GRAND PICASSO,376079SP,TRASERO,2010-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70018/p/monroe
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 PICASSO & GRAND PICASSO,94236MI,DELANTERO,2010-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69933/p/monroe
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 Cactus,94252MI,Delantero Derecho,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70377
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 Cactus,83890MI,TRASERO,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70373
CITRÖEN,C4,Monroe Internacional,Amortiguadores,C4 Cactus,94253MI,Delantero Izquierdo,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70378
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 Cactus,94252,Delantero Derecho,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70375
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 Cactus,94253,Delantero Izquierdo,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70376
CITRÖEN,C4,Fric Rot Max,Amortiguadores,C4 Cactus,83890,TRASERO,2018-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/70374
CITRÖEN,SAXO / AX,Monroe Internacional,Amortiguadores,SAXO / AX,38045MI,TRASERO,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67628/p/monroe
CITRÖEN,SAXO / AX,Monroe Internacional,Amortiguadores,SAXO / AX,43806MI,DELANTERO,NA,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/67956/p/monroe
CITRÖEN,SAXO / AX,PARRILLAS DE SUSPENSION,Amortiguadores,SAXO / AX,PS31810C,DERECHA,1986-01,1996-01,http://www.fricrot.com.ar
CITRÖEN,SAXO / AX,PARRILLAS DE SUSPENSION,Amortiguadores,SAXO / AX,PS31820C,IZQUIERDA,1986-01,1996-12,http://www.fricrot.com.ar
CITRÖEN,SAXO / AX,Monroe Internacional,Componentes de suspensión,SAXO / AX,38045MI,TRASERO,NA,NA,http://www.fricrot.com.ar
CITRÖEN,SAXO / AX,Monroe Internacional,Componentes de suspensión,SAXO / AX,43806MI,DELANTERO,NA,NA,http://www.fricrot.com.ar
FIAT,STILO,Fuelles y Topes,Componentes de suspensión,STILO,44.1731,TRASERO,2002-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69467/p/monroe
FIAT,STILO,Bujes y Accesorios,Componentes de suspensión,STILO,11.1526,TRASERO,2002-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/68973
FIAT,STILO,Bujes y Accesorios,Componentes de suspensión,STILO,11.1525,DELANTERO,2002-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/69048
FIAT,STILO,Fric Rot Max,Amortiguadores,STILO,94195,DELANTERO,2003-01,NA,http://www.fricrot.com.ar/e-catalog/parte/codigo/66653
